PopID,Pop,City,Urban,Distance,Trial,Height_cm,Monarchs,Rhysomatus,Myzocallis,Euchaetes,Lygaeus,Oncopeltus,Tetraopes,Leaf_Beetle,Fly,Abundance ,Diversity,Average_Leaf_Herbivory,Height_Scars_cm
AS001,1,Toronto,urban,15.89377953,Early,45,0,0,0,0,0,0,0,0,0,0,0,0,1.2
AS001,1,Toronto,urban,15.89377953,Early,60,0,0,0,0,0,0,0,0,0,0,0,7.1,13.9
AS001,1,Toronto,urban,15.89377953,Early,51,1,0,0,0,0,0,0,0,0,1,1,0,0
AS001,1,Toronto,urban,15.89377953,Early,88,0,0,0,0,0,0,0,0,0,0,0,5,7.9
AS001,1,Toronto,urban,15.89377953,Early,79,0,0,0,0,0,0,0,0,0,0,0,11,10
AS002,2,Toronto,urban,15.51,Early,107.2,0,0,0,0,0,0,0,0,1,1,1,0.5,0
AS002,2,Toronto,urban,15.51,Early,77,1,0,0,0,0,0,0,0,0,1,1,9.7,34.1
AS002,2,Toronto,urban,15.51,Early,118,0,0,0,0,0,0,0,0,1,1,1,0.5,0
AS002,2,Toronto,urban,15.51,Early,92,0,0,0,0,0,0,0,0,0,0,0,2,0
AS002,2,Toronto,urban,15.51,Early,117,0,0,0,0,0,0,0,0,1,1,1,2,9.1
AS004,3,Toronto,urban,16.03360391,Early,91,0,0,0,0,0,0,0,0,0,0,0,0,0
AS004,3,Toronto,urban,16.03360391,Early,89,0,0,0,0,0,0,0,0,0,0,0,0,11.5
AS004,3,Toronto,urban,16.03360391,Early,94.5,0,0,0,0,0,0,0,0,0,0,0,0,0
AS004,3,Toronto,urban,16.03360391,Early,103,0,0,0,0,0,0,0,0,0,0,0,0,0
AS004,3,Toronto,urban,16.03360391,Early,110,0,0,0,0,0,0,0,0,0,0,0,0,0
AS007,4,Toronto,urban,16.21,Early,116,1,0,0,0,0,0,3,0,4,8,3,12.3,0
AS007,4,Toronto,urban,16.21,Early,75.2,0,0,0,0,0,0,1,0,0,1,1,1.2,0
AS007,4,Toronto,urban,16.21,Early,81,0,0,0,0,0,0,1,0,0,1,1,9.6,6.9
AS007,4,Toronto,urban,16.21,Early,63,0,0,0,0,0,0,0,0,1,1,1,6.2,18.1
AS007,4,Toronto,urban,16.21,Early,72.5,0,0,0,0,0,0,0,0,0,0,0,0.2,0
AS012,5,Toronto,urban,21.58,Early,91,1,0,0,0,0,0,0,0,0,1,1,8,0
