UID,Population,City,Latitude,Longitude,Distance,Habitat
AS065,65,Toronto,43.680726,-79.411251,2.27,Urban
AS064,64,Toronto,43.669676,-79.422881,2.29,Urban
AS067,67,Toronto,43.67876,-79.431977,2.99,Urban
AS066,66,Toronto,43.691138,-79.427943,3.36,Urban
AS069,69,Toronto,43.671068,-79.452408,3.72,Urban
AS070,70,Toronto,43.67024,-79.462135,4.17,Urban
AS071,71,Toronto,43.671812,-79.474258,4.79,Urban
AS072,72,Toronto,43.670454,-79.482484,5.17,Urban
AS039,39,Toronto,43.719453,-79.445163,5.42,Urban
AS041,41,Toronto,43.713472,-79.463271,5.7,Urban
AS040,40,Toronto,43.726466,-79.445593,5.82,Urban
AS028,28,Toronto,43.661177,-79.500382,5.98,Urban
AS042,42,Toronto,43.713584,-79.475768,6.17,Urban
AS043,43,Toronto,43.71387,-79.505919,7.4,Urban
AS044,44,Toronto,43.713092,-79.515599,7.79,Urban
AS029,29,Toronto,43.711948,-79.535894,8.65,Urban
AS050,50,Toronto,43.702158,-79.543737,8.73,Urban
AS093,93,Toronto,43.633829,-79.553119,8.75,Urban
AS051,51,Toronto,43.701032,-79.549473,8.97,Urban
AS052,52,Toronto,43.701432,-79.56251,9.6,Urban
AS054,54,Toronto,43.675131,-79.571575,9.62,Urban
AS055,55,Toronto,43.664067,-79.577284,9.83,Urban
AS053,53,Toronto,43.690086,-79.572325,9.85,Urban
AS026,26,Toronto,43.615384,-79.570454,9.89,Urban
AS073,73,Toronto,43.646988,-79.583587,10.15,Urban
AS092,92,Toronto,43.601609,-79.583684,10.82,Urban
AS074,74,Toronto,43.654607,-79.607519,11.33,Urban
AS075,75,Toronto,43.651476,-79.617876,11.85,Urban
AS091,91,Toronto,43.591194,-79.608405,12.24,Urban
AS076,76,Toronto,43.63776,-79.635241,12.78,Urban
AS089,89,Toronto,43.579335,-79.630017,13.55,Urban
AS024,24,Toronto,43.589594,-79.638468,13.68,Urban
AS077,77,Toronto,43.628807,-79.652009,13.69,Urban
AS088,88,Toronto,43.573691,-79.63648,14,Urban
