Population_ID,Pop,City,Lat,Long,Distance,Type
AS065,65,Toronto,43.680726,-79.411251,2.27,urban
AS064,64,Toronto,43.669676,-79.422881,2.29,urban
AS067,67,Toronto,43.67876,-79.431977,2.99,urban
AS066,66,Toronto,43.691138,-79.427943,3.36,urban
AS069,69,Toronto,43.671068,-79.452408,3.72,urban
AS070,70,Toronto,43.67024,-79.462135,4.17,urban
AS071,71,Toronto,43.671812,-79.474258,4.79,urban
AS072,72,Toronto,43.670454,-79.482484,5.17,urban
AS039,39,Toronto,43.719453,-79.445163,5.42,urban
AS041,41,Toronto,43.713472,-79.463271,5.7,urban
AS040,40,Toronto,43.726466,-79.445593,5.82,urban
AS028,28,Toronto,43.661177,-79.500382,5.98,urban
AS042,42,Toronto,43.713584,-79.475768,6.17,urban
AS043,43,Toronto,43.71387,-79.505919,7.4,urban
AS044,44,Toronto,43.713092,-79.515599,7.79,urban
AS029,29,Toronto,43.711948,-79.535894,8.65,urban
AS050,50,Toronto,43.702158,-79.543737,8.73,urban
AS093,93,Toronto,43.633829,-79.553119,8.75,urban
AS051,51,Toronto,43.701032,-79.549473,8.97,urban
AS052,52,Toronto,43.701432,-79.56251,9.6,urban
AS054,54,Toronto,43.675131,-79.571575,9.62,urban
AS055,55,Toronto,43.664067,-79.577284,9.83,urban
AS053,53,Toronto,43.690086,-79.572325,9.85,urban
AS026,26,Toronto,43.615384,-79.570454,9.89,urban
AS073,73,Toronto,43.646988,-79.583587,10.15,urban
AS092,92,Toronto,43.601609,-79.583684,10.82,urban
AS074,74,Toronto,43.654607,-79.607519,11.33,urban
AS075,75,Toronto,43.651476,-79.617876,11.85,urban
AS091,91,Toronto,43.591194,-79.608405,12.24,urban
AS076,76,Toronto,43.63776,-79.635241,12.78,urban
AS089,89,Toronto,43.579335,-79.630017,13.55,urban
AS024,24,Toronto,43.589594,-79.638468,13.68,urban
AS077,77,Toronto,43.628807,-79.652009,13.69,urban
AS088,88,Toronto,43.573691,-79.63648,14,urban
AS087,87,Toronto,43.568721,-79.651832,14.84,urban
