UID,Population,City,Habitat,Distance,Season,Mean_Leaf_Herbivory
B1,72,Brantford,Rural,3.76,Early,0.004
B1,72,Brantford,Rural,3.76,Early,0
B1,72,Brantford,Rural,3.76,Early,0.006
B1,72,Brantford,Rural,3.76,Early,0
B1,72,Brantford,Rural,3.76,Early,0.069
B10,73,Brantford,Rural,5.04,Early,0.041
B10,73,Brantford,Rural,5.04,Early,0.046
B10,73,Brantford,Rural,5.04,Early,0.015
B10,73,Brantford,Rural,5.04,Early,0.052
B10,73,Brantford,Rural,5.04,Early,0.038
B11,74,Brantford,Rural,5.16,Early,0.017
B11,74,Brantford,Rural,5.16,Early,0.057
B11,74,Brantford,Rural,5.16,Early,0.076
B11,74,Brantford,Rural,5.16,Early,0.101
B11,74,Brantford,Rural,5.16,Early,0.007
B4,75,Brantford,Urban,1.29,Early,0.012
B4,75,Brantford,Urban,1.29,Early,0.023
B4,75,Brantford,Urban,1.29,Early,0
B4,75,Brantford,Urban,1.29,Early,0.006
B4,75,Brantford,Urban,1.29,Early,0.029
B6,76,Brantford,Urban,2.57,Early,0.076
B6,76,Brantford,Urban,2.57,Early,0.006
B6,76,Brantford,Urban,2.57,Early,0.009
B6,76,Brantford,Urban,2.57,Early,0.024
B6,76,Brantford,Urban,2.57,Early,0.075
B8,77,Brantford,Urban,2.89,Early,0.012
B8,77,Brantford,Urban,2.89,Early,0.009
B8,77,Brantford,Urban,2.89,Early,0.01
B8,77,Brantford,Urban,2.89,Early,0.003
B8,77,Brantford,Urban,2.89,Early,0.001
G12,78,Guelph,Urban,1.67,Early,0.055
G12,78,Guelph,Urban,1.67,Early,0.07
G12,78,Guelph,Urban,1.67,Early,0
G12,78,Guelph,Urban,1.67,Early,0
G12,78,Guelph,Urban,1.67,Early,0.008
G15,79,Guelph,Rural,4.6,Early,0.005
G15,79,Guelph,Rural,4.6,Early,0.003
G15,79,Guelph,Rural,4.6,Early,0.089
G15,79,Guelph,Rural,4.6,Early,0.012
G15,79,Guelph,Rural,4.6,Early,0.003
G16,80,Guelph,Rural,4.2,Early,0
G16,80,Guelph,Rural,4.2,Early,0.007
G16,80,Guelph,Rural,4.2,Early,0.015
G16,80,Guelph,Rural,4.2,Early,0.003
G16,80,Guelph,Rural,4.2,Early,0.085
G2,81,Guelph,Rural,4.09,Early,0.003
G2,81,Guelph,Rural,4.09,Early,0
G2,81,Guelph,Rural,4.09,Early,0
G2,81,Guelph,Rural,4.09,Early,0.014
G2,81,Guelph,Rural,4.09,Early,0.003
G3,82,Guelph,Urban,2.75,Early,0.15
G3,82,Guelph,Urban,2.75,Early,0.061
G3,82,Guelph,Urban,2.75,Early,0.065
G3,82,Guelph,Urban,2.75,Early,0.043
G3,82,Guelph,Urban,2.75,Early,0.046
G8,83,Guelph,Urban,2.38,Early,0.03
G8,83,Guelph,Urban,2.38,Early,0.017
G8,83,Guelph,Urban,2.38,Early,0.033
G8,83,Guelph,Urban,2.38,Early,0.078
G8,83,Guelph,Urban,2.38,Early,0.025
K1,84,Kitchner,Rural,6.43,Early,0.005
K1,84,Kitchner,Rural,6.43,Early,0.048
K1,84,Kitchner,Rural,6.43,Early,0.011
K1,84,Kitchner,Rural,6.43,Early,0.16
K1,84,Kitchner,Rural,6.43,Early,0.015
K11,85,Kitchner,Urban,2.31,Early,0.015
K11,85,Kitchner,Urban,2.31,Early,0.015
K11,85,Kitchner,Urban,2.31,Early,0.005
K11,85,Kitchner,Urban,2.31,Early,0.071
K11,85,Kitchner,Urban,2.31,Early,0.097
K17,86,Kitchner,Rural,6.24,Early,0.023
K17,86,Kitchner,Rural,6.24,Early,0.022
K17,86,Kitchner,Rural,6.24,Early,0
K17,86,Kitchner,Rural,6.24,Early,0.043
K17,86,Kitchner,Rural,6.24,Early,0.008
K2,87,Kitchner,Urban,5.28,Early,0
K2,87,Kitchner,Urban,5.28,Early,0.025
K2,87,Kitchner,Urban,5.28,Early,0.025
K2,87,Kitchner,Urban,5.28,Early,0.011
K2,87,Kitchner,Urban,5.28,Early,0.006
K5,88,Kitchner,Rural,7.4,Early,0.143
K5,88,Kitchner,Rural,7.4,Early,0.04
K5,88,Kitchner,Rural,7.4,Early,0.017
K5,88,Kitchner,Rural,7.4,Early,0.004
K5,88,Kitchner,Rural,7.4,Early,0.077
K9,89,Kitchner,Urban,0.76,Early,0.013
K9,89,Kitchner,Urban,0.76,Early,0.008
K9,89,Kitchner,Urban,0.76,Early,0.034
K9,89,Kitchner,Urban,0.76,Early,0.014
K9,89,Kitchner,Urban,0.76,Early,0.013
L14,90,London,Urban,1.95,Early,0.072
L14,90,London,Urban,1.95,Early,0.01
L14,90,London,Urban,1.95,Early,0.028
L14,90,London,Urban,1.95,Early,0.005
L14,90,London,Urban,1.95,Early,0.034
L15,91,London,Rural,8.04,Early,0.022
L15,91,London,Rural,8.04,Early,0.02
L15,91,London,Rural,8.04,Early,0.025
L15,91,London,Rural,8.04,Early,0.074
L15,91,London,Rural,8.04,Early,0.062
L16,92,London,Rural,7.03,Early,0.123
L16,92,London,Rural,7.03,Early,0.036
L16,92,London,Rural,7.03,Early,0.004
L16,92,London,Rural,7.03,Early,0.04
L16,92,London,Rural,7.03,Early,0.02
